datetime,open,high,low,close,volume
2026-01-20 14:05:00,25379.25,25379.25,25347.55,25360.75,9564319
2026-01-20 14:15:00,25361.45,25376.75,25352.95,25366.55,9847062
2026-01-20 14:25:00,25366.0,25394.1,25362.4,25379.15,8681440
2026-01-20 14:35:00,25381.3,25384.45,25332.95,25344.15,13580381
2026-01-20 14:45:00,25344.65,25355.25,25326.35,25336.4,9390398
2026-01-20 14:55:00,25337.35,25342.8,25265.3,25277.7,20737451
2026-01-20 15:05:00,25277.7,25290.7,25213.85,25217.05,27417945
2026-01-20 15:15:00,25217.05,25239.3,25177.2,25180.55,27997942
2026-01-20 15:25:00,25178.1,25230.35,25171.35,25225.35,13033095
2026-01-21 09:15:00,25141.0,25277.75,25130.15,25221.4,27468526
2026-01-21 09:25:00,25222.65,25254.6,25199.0,25242.85,18071390
2026-01-21 09:35:00,25242.1,25251.3,25187.9,25199.45,15730258
2026-01-21 09:45:00,25199.65,25212.3,25168.05,25177.55,11918673
2026-01-21 09:55:00,25178.3,25207.25,25143.6,25159.55,9397288
2026-01-21 10:05:00,25159.6,25178.95,25137.95,25153.25,9346477
2026-01-21 10:15:00,25153.8,25159.1,25105.25,25105.85,8144869
2026-01-21 10:25:00,25107.5,25120.5,25085.2,25095.9,11062572
2026-01-21 10:35:00,25095.6,25100.3,25026.2,25029.0,10503315
2026-01-21 10:45:00,25029.1,25030.8,24967.6,24969.45,11879930
2026-01-21 10:55:00,24969.05,25009.45,24919.8,24994.55,13698386
2026-01-21 11:05:00,24994.2,25070.1,24975.0,25054.75,9549484
2026-01-21 11:15:00,25055.4,25077.2,25036.6,25059.0,11735422
2026-01-21 11:25:00,25058.3,25071.2,25024.45,25043.65,7371781
2026-01-21 11:35:00,25043.95,25061.55,25035.6,25040.05,6174558
2026-01-21 11:45:00,25041.0,25080.25,25040.9,25059.9,5891011
2026-01-21 11:55:00,25061.35,25124.1,25048.75,25116.65,6858344
2026-01-21 12:05:00,25115.6,25136.15,25103.3,25136.15,9087470
2026-01-21 12:15:00,25135.15,25187.9,25122.65,25185.85,9682261
2026-01-21 12:25:00,25184.35,25189.3,25118.5,25185.45,8976364
2026-01-21 12:35:00,25185.45,25245.85,25183.6,25226.7,11455720
2026-01-21 12:45:00,25225.9,25294.4,25225.1,25282.9,11359742
2026-01-21 12:55:00,25282.5,25300.95,25256.0,25287.15,8571370
2026-01-21 13:05:00,25286.85,25293.7,25221.5,25237.45,8665146
2026-01-21 13:15:00,25237.6,25242.4,25196.05,25212.5,7821348
2026-01-21 13:25:00,25212.4,25219.9,25177.05,25183.6,5925433
2026-01-21 13:35:00,25182.4,25238.25,25173.35,25195.7,10143395
2026-01-21 13:45:00,25195.15,25208.9,25160.6,25168.85,7420756
2026-01-21 13:55:00,25169.2,25170.2,25136.35,25148.25,6013062
2026-01-21 14:05:00,25149.05,25160.3,25132.85,25136.7,6158392
2026-01-21 14:15:00,25137.45,25202.05,25129.8,25152.2,7129740
2026-01-21 14:25:00,25151.95,25166.4,25119.85,25162.85,5904449
2026-01-21 14:35:00,25163.0,25163.75,25135.0,25150.1,7765763
2026-01-21 14:45:00,25149.0,25164.05,25142.65,25153.95,7704684
2026-01-21 14:55:00,25153.2,25177.8,25135.35,25177.5,11789981
2026-01-21 15:05:00,25178.45,25182.5,25144.75,25155.0,17303705
2026-01-21 15:15:00,25155.2,25162.2,25140.55,25152.8,17737492
